testo,pagina
"IV DOMENICA In luogo delle letture qui riportate, si possono usare quelle della IV domePRIMA LETTURA Con l’esilio e la liberazione del popolo Dal secondo libro delle Cronache 36, 14-16.19-23 In quei giorni, tutti i capi di Giuda, i sacerdoti e il il tempio, che il Signore si era consacrato a Gerusalemme. Il Signore, Dio dei loro padri, mandò premurosamente e inIl re [dei Caldèi] deportò a Babilonia gli scampati alla spada,",120
"ca di Geremìa: «Finché la terra non abbia scontato i suoi saNell’anno primo di Ciro, re di Persia, perché si adempisse la Parola di Dio.",121
"SALMO RESPONSORIALE Il ricordo di te, Signore, è la nostra gioia. Lungo i fiumi di Babilonia, Perché là ci chiedevano parole di canto Come cantare i canti del Signore Mi si attacchi la lingua al palato",122
"SECONDA LETTURA Dalla lettera di san Paolo apostolo agli Efesìni 2, 4-10 Fratelli, Dio, ricco di misericordia, per il grande amore salvati. Con lui ci ha anche risuscitato e ci ha fatto sedere nei cieli, Per grazia infatti siete salvati mediante la fede; e ciò non Parola di Dio. CANTO AL VANGELO Cf. Gv 3, 16 Lode e onore a te, Signore Gesù! Dio ha tanto amato il mondo da dare il Figlio unigenito; Lode e onore a te, Signore Gesù!",125
"VANGELO Dal Vangelo secondo Giovanni 3, 14-21 In quel tempo, Gesù disse a Nicodèmo: «Come Mosè innalzò il serpente nel deserto, Dio infatti ha tanto amato il mondo da dare il Figlio unigeniE il giudizio è questo: la luce è venuta nel mondo, ma gli uoParola del Signore.",126
"V DOMENICA In luogo delle letture qui riportate, si possono usare quelle della V domePRIMA LETTURA Concluderò un’alleanza nuova Dal libro del profeta Geremìa 31, 31-34 Ecco, verranno giorni – oracolo del Signore –, nei leanza che ho concluso con i loro padri, quando li presi per Questa sarà l’alleanza che concluderò con la casa d’Israele doParola di Dio.",127
"SALMO RESPONSORIALE Crea in me, o Dio, un cuore puro. Pietà di me, o Dio, nel tuo amore; Crea in me, o Dio, un cuore puro, Rendimi la gioia della tua salvezza,",128
"SECONDA LETTURA Dalla lettera agli Ebrei 5, 7-9 Cristo, nei giorni della sua vita terrena, offrì preghieno a lui, venne esaudito. Pur essendo Figlio, imparò l’obbedienza da ciò che patì e, reParola di Dio. CANTO AL VANGELO Gv 12, 26 Lode e onore a te, Signore Gesù! Se uno mi vuole servire, mi segua, dice il Signore, Lode e onore a te, Signore Gesù!",129
"VANGELO Dal Vangelo secondo Giovanni 12, 20-33 In quel tempo, tra quelli che erano saliti per il Filippo andò a dirlo ad Andrea, e poi Andrea e Filippo andaroVenne allora una voce dal cielo: «L’ho glorificato e lo glorifiLa folla, che era presente e aveva udito, diceva che era stato",130
"sarà gettato fuori. E io, quando sarò innalzato da terra, attiParola del Signore.",131
"DOMENICA DELLE PALME: Alla commemorazione dell’ingresso del Signore in Gerusalemme VANGELO Benedetto colui che viene nel nome del Signore. Dal Vangelo secondo Marco 11, 1-10 Quando furono vicini a Gerusalemme, verso gatelo e portatelo qui. E se qualcuno vi dirà: “Perché fate Andarono e trovarono un puledro legato vicino a una porta, Portarono il puledro da Gesù, vi gettarono sopra i loro man-",132
"«Osanna! Parola del Signore. Oppure: Benedetto colui che viene nel nome del Signore. Dal Vangelo secondo Giovanni 12, 12-16 In quel tempo, la grande folla che era venuta «Osanna! Benedetto colui che viene nel nome del Signore, Gesù, trovato un asinello, vi montò sopra, come sta scritto: I suoi discepoli sul momento non compresero queste cose; ma, Parola del Signore.",135
