id_liturgia,riferimento,id_canti,vector_similarity
C10-A,salmo,2074,0.4436051285098019
C10-A,seconda_lettura,2430,0.5957571523451257
C10-A,seconda_lettura,196,0.5856818213955216
C10-A,seconda_lettura,2443,0.5791645408494426
C10-A,seconda_lettura,206,0.5570806605745491
C10-A,seconda_lettura,2534,0.5562741437925677
C10-A,seconda_lettura,2674,0.5508139189451094
C10-A,seconda_lettura,179,0.5495738802167076
C10-A,seconda_lettura,2800,0.5492384391621972
C10-A,seconda_lettura,2078,0.5411936665815882
C10-A,seconda_lettura,1609,0.5406899442879958
C10-A,versetto,2024,0.4373991888450176
C10-A,versetto,2094,0.3459311452050965
C10-A,versetto,1705,0.3264863084072499
C10-A,versetto,2032,0.3118541741910042
C10-A,versetto,102,0.3061378004882262
C10-A,versetto,2123,0.3019487577565136
C10-A,versetto,263,0.298307378507203
C10-A,versetto,2289,0.2962365444519769
C10-A,versetto,2466,0.292408094773206
C10-A,versetto,2493,0.2882067765785397
C10-A,vangelo,2625,0.605127672211939
C10-A,vangelo,302,0.5741223313780681
C10-A,vangelo,1916,0.5706014705691449
C10-A,vangelo,2481,0.5590566222137501
C10-A,vangelo,2600,0.5562148820422118
C10-A,vangelo,1656,0.5561109430038583
C10-A,vangelo,2363,0.5520774849072623
C10-A,vangelo,2717,0.5502410167291563
C10-A,vangelo,196,0.5481427704401849
C10-A,vangelo,1620,0.5467272329577152
C11-A,liturgia,2234,0.7431391690379904
C11-A,liturgia,266,0.7375628982430794
C11-A,liturgia,2370,0.7341107167928823
C11-A,liturgia,1721,0.7293712824626541
C11-A,liturgia,297,0.7269865102104106
C11-A,liturgia,2204,0.717951664574797
C11-A,liturgia,2320,0.7134360407519376
C11-A,liturgia,3022,0.7115941457199357
C11-A,liturgia,2007,0.7093376384529797
C11-A,liturgia,2332,0.7092582223604723
C11-A,prima_lettura,2234,0.6695072777613674
C11-A,prima_lettura,297,0.659028924395856
C11-A,prima_lettura,2332,0.6485080051693017
C11-A,prima_lettura,2204,0.6480817693136663
C11-A,prima_lettura,266,0.6472191377351454
C11-A,prima_lettura,3022,0.6443194494446202
C11-A,prima_lettura,2916,0.6426064341039488
C11-A,prima_lettura,2370,0.6357996754079055
C11-A,prima_lettura,2484,0.6346234045162845
C11-A,prima_lettura,2320,0.6344780935872405
C11-A,salmo,2596,0.6009988031341155
C11-A,salmo,102,0.5498279411221748
C11-A,salmo,2063,0.5457259741953561
C11-A,salmo,2755,0.5336010400804486
C11-A,salmo,2142,0.530966470707174
C11-A,salmo,2493,0.5281672962199861
C11-A,salmo,100,0.5271038904414663
C11-A,salmo,2140,0.5200000984335292
C11-A,salmo,2452,0.5127319615892785
C11-A,salmo,2303,0.5113735672321956
C11-A,seconda_lettura,2600,0.6765136073619472
C11-A,seconda_lettura,1543,0.6400958988210292
C11-A,seconda_lettura,1575,0.6250117161557424
C11-A,seconda_lettura,2618,0.6119339709474652
C11-A,seconda_lettura,2699,0.6085392152918924
C11-A,seconda_lettura,2192,0.6081499365686751
C11-A,seconda_lettura,1609,0.6073411672315207
C11-A,seconda_lettura,2534,0.5981161827565057
C11-A,seconda_lettura,2332,0.5919992589259868
C11-A,seconda_lettura,2296,0.5898854284993553
C11-A,versetto,2024,0.4145144797037296
C11-A,versetto,102,0.3577227955073557
C11-A,versetto,1699,0.3050094978140761
C11-A,versetto,101,0.2984796842889236
C11-A,versetto,2094,0.2944128486155666
C11-A,versetto,1968,0.291412515756089
C11-A,versetto,2596,0.2869205231943303
C11-A,versetto,2123,0.2848379884325127
C11-A,versetto,2074,0.284674167522452
C11-A,versetto,2142,0.2839136317166446
C11-A,vangelo,478,0.7047281177898695
C11-A,vangelo,2827,0.6717622845976756
C11-A,vangelo,2712,0.6586296491859311
C11-A,vangelo,2164,0.6419632968127846
C11-A,vangelo,2419,0.6362737094435467
C11-A,vangelo,2229,0.6311271533953546
C11-A,vangelo,1898,0.62970285277174
C11-A,vangelo,2595,0.6267648746678247
C11-A,vangelo,2341,0.6257858558597345
C11-A,vangelo,1950,0.6224787600223777
C12-A,liturgia,1740,0.8942968773595426
C12-A,liturgia,2007,0.8729043951287055
C12-A,liturgia,2173,0.8600791002673518
C12-A,liturgia,2087,0.8540095103997893
C12-A,liturgia,2208,0.8138396630744099
C12-A,liturgia,1696,0.8041959022316296
C12-A,liturgia,44,0.7970466018819233
C12-A,liturgia,1879,0.7927989011772626
C12-A,liturgia,443,0.7918478757196359
