id_canti,mean_text_similarity,max_text_similarity
1933,0.11,0.25
2877,0.11,0.24
2927,0.11,0.19
2532,0.11,0.21
2648,0.11,0.24
2171,0.11,0.31
2610,0.11,0.23
2276,0.11,0.19
2415,0.11,0.26
2386,0.11,0.2
2318,0.11,0.2
2782,0.11,0.22
2699,0.11,0.23
2576,0.11,0.28
2619,0.11,0.18
2372,0.11,0.35
2236,0.11,0.17
2417,0.11,0.28
2127,0.11,0.2
2477,0.11,0.27
2194,0.11,0.25
2769,0.11,0.2
2358,0.11,0.23
2560,0.1,0.19
2662,0.1,0.17
2559,0.1,0.18
16,0.1,0.25
1961,0.1,0.22
1931,0.1,0.2
3018,0.1,0.25
2402,0.1,0.25
2783,0.1,0.24
272,0.1,0.2
1697,0.1,0.26
396,0.1,0.32
2307,0.1,0.21
1910,0.1,0.26
2010,0.1,0.22
1903,0.1,0.21
2325,0.1,0.37
2336,0.1,0.21
2712,0.1,0.22
2349,0.1,0.21
1861,0.1,0.31
1849,0.1,0.25
1845,0.1,0.43
1838,0.1,0.16
2123,0.1,0.25
2492,0.1,0.25
2635,0.1,0.21
1586,0.1,0.26
2364,0.1,0.18
2184,0.1,0.19
147,0.1,0.22
2050,0.1,0.18
2046,0.1,0.18
2913,0.1,0.25
2926,0.1,0.16
1407,0.1,0.24
2096,0.1,0.2
2817,0.1,0.19
2041,0.1,0.22
220,0.1,0.2
1753,0.1,0.18
1684,0.1,0.22
1711,0.1,0.17
2154,0.1,0.25
2884,0.1,0.17
2116,0.1,0.27
1722,0.09,0.21
2074,0.09,0.15
2614,0.09,0.3
2384,0.09,0.2
2153,0.09,0.16
2755,0.09,0.25
2092,0.09,0.2
2596,0.09,0.14
275,0.09,0.27
2342,0.09,0.17
1626,0.09,0.19
2140,0.09,0.18
344,0.09,0.22
2441,0.09,0.21
